transacao_id,cliente_id,tipo_transacao,valor_kz,data_transacao,canal,status,provincia,tipo_conta
TXN001210,CLI0037,Transferência,96280.44,2024-04-24 03:22:17,ATM,Aprovada,Huambo,Jovem
TXN001196,CLI0147,Transferência,235533.02,2024-01-01 06:03:53,App Mobile,Recusada,Malanje,Empresarial
TXN001824,CLI0004,Recebimento de Salário,216807.57,2024-08-24 20:41:51,ATM,Recusada,Saurimo,Empresarial
TXN004527,CLI0057,Pagamento de Serviço,245715.81,2024-12-04 21:35:50,Balcão,Recusada,Benguela,Jovem
TXN001481,CLI0198,Depósito,46003.67,2024-12-12 11:27:52,Internet Banking,Aprovada,Uíge,Corrente
TXN000213,CLI0178,Depósito,25694.47,2024-05-28 22:19:18,App Mobile,Aprovada,Saurimo,Poupança
TXN003485,CLI0054,Transferência,167819.94,2023-12-19 06:06:41,ATM,Recusada,Cabinda,Poupança
TXN001699,CLI0096,Levantamento,134846.03,27/01/2024 22:17,App Mobile,Pendente,Malanje,Corrente
TXN001619,CLI0190,Depósito,41179.54,2024-07-11 10:53:06,Balcão,Aprovada,Malanje,Empresarial
TXN002035,CLI0150,Pagamento de Empréstimo,113727.36,2024-08-05 19:36:57,ATM,Aprovada,Benguela,Jovem
TXN000187,CLI0118,Depósito,195530.57,2024-02-10 21:15:42,Agente Bancário,Recusada,Saurimo,Corrente
TXN003152,CLI0126,Pagamento de Electricidade,97155.1,2024-05-28 02:59:23,ATM,Aprovada,Sumbe,Jovem
TXN003968,CLI0132,Compra com Cartão,134240.51,2023-08-22 16:16:46,App Mobile,Recusada,Cabinda,Empresarial
TXN004505,CLI0194,Pagamento de Empréstimo,3114.21,2023-01-27 12:26:04,ATM,Aprovada,Lubango,Poupança
TXN004603,CLI0080,Pagamento de Electricidade,89267.87,2023-03-01 02:07:32,Balcão,Aprovada,Lubango,Jovem
TXN002093,CLI0114,TRANSFERÊNCIA,237843.98,2023-08-18 12:20:50,Balcão,Aprovada,Malanje,Jovem
TXN001710,CLI0032,DEPÓSITO,136942.3,2024-03-11 03:11:33,ATM,Pendente,Uíge,Jovem
TXN002716,cli0156,Pagamento de Renda,53201.11,2024-06-10 09:36:28,Agente Bancário,Aprovada,Benguela,Jovem
TXN003311,CLI0138,Pagamento de Empréstimo,178612.15,2024-12-13 09:49:38,Internet Banking,Recusada,Malanje,Empresarial
TXN000752,CLI0129,Levantamento,147000.29,2023-01-19 09:31:34,Agente Bancário,Aprovada,Saurimo,Jovem
TXN004536,CLI0059,Compra com Cartão,223569.08,2023-06-30 23:16:55,App Mobile,Aprovada,Lubango,Jovem
TXN001552,CLI0057,Pagamento de Serviço,60235.77,2024-09-17 06:14:57,Agente Bancário,Aprovada,Benguela,Jovem
TXN002236,CLI0013,Levantamento,3735.53,2024-10-01 11:23:26,ATM,Pendente,Benguela,Poupança
TXN000037,CLI0068,Compra com Cartão,71751.43,2024-04-20 06:13:02,Internet Banking,Aprovada,Malanje,Jovem
TXN004096,CLI0092,Levantamento,37882.86,2023-06-23 21:41:40,Internet Banking,Pendente,Benguela,Poupança
TXN004936,CLI0158,Pagamento de Empréstimo,164426.72,2023-07-23 15:25:38,ATM,Aprovada,Lubango,Jovem
TXN000875,CLI0108,Pagamento de Serviço,134635.17,2024-12-20 00:36:52,Agente Bancário,Aprovada,Lubango,Corrente
TXN001442,CLI0050,Compra com Cartão,142021.22,2024-09-03 19:45:15,App Mobile,Aprovada,Malanje,Corrente
TXN000830,CLI0031,Recarga de Telemóvel,26349.95,2023-06-08 16:18:35,Balcão,Aprovada,Uíge,Poupança
TXN000405,CLI0014,Transferência,75691.1,2024-01-05 21:36:24,Internet Banking,Aprovada,Sumbe,Jovem
TXN002907,CLI0072,Pagamento de Electricidade,163593.29,2023-02-22 05:30:10,Balcão,Recusada,Lubango,Jovem
TXN000945,CLI0049,Depósito,23666.16,2023-12-05 04:27:21,ATM,Aprovada,Saurimo,Poupança
TXN004224,CLI0199,Compra com Cartão,27006.84,13/11/2024 13:00,Agente Bancário,Aprovada,Kuito,Poupança
TXN002256,CLI0156,Depósito,198600.87,2024-08-31 12:24:38,Agente Bancário,Aprovada,Benguela,Jovem
TXN002808,CLI0079,Pagamento de Electricidade,125034.81,2024-06-09 00:11:57,Balcão,Aprovada,Malanje,Poupança
TXN001583,CLI0017,Pagamento de Empréstimo,90702.27,2023-02-04 23:28:28,App Mobile,Aprovada,Huambo,Jovem
TXN001814,CLI0116,Recebimento de Salário,215821.65,2023-12-19 08:02:20,App Mobile,Aprovada,Benguela,Jovem
TXN004095,CLI0099,Depósito,113359.1,2024-10-28 21:59:36,ATM,Aprovada,Huambo,Empresarial
TXN000105,CLI0144,Pagamento de Serviço,171486.34,2023-05-12 17:15:17,Agente Bancário,Recusada,Sumbe,Jovem
TXN004138,CLI0107,Depósito,52947.92,2023-08-15 19:04:36,Agente Bancário,Aprovada,Kuito,Empresarial
TXN000041,CLI0082,Levantamento,129581.32,2024-06-12 06:09:01,Internet Banking,Aprovada,Uíge,Corrente
TXN003851,CLI0039,RECARGA DE TELEMÓVEL,226693.58,2024-06-16 10:23:07,Balcão,Aprovada,Kuito,Corrente
TXN004148,CLI0146,Compra com Cartão,173130.29,2023-06-09 10:10:42,Agente Bancário,Aprovada,Sumbe,Corrente
TXN000435,CLI0076,Pagamento de Electricidade,226441.74,2024-04-19 23:42:35,ATM,Pendente,Sumbe,Empresarial
TXN003270,CLI0115,Pagamento de Electricidade,111035.7,2023-10-07 20:16:59,Agente Bancário,Aprovada,Saurimo,Corrente
TXN004042,cli0188,Compra com Cartão,71165.7,2023-01-24 21:32:16,Agente Bancário,Aprovada,Benguela,Poupança
TXN004308,CLI0143,Pagamento de Serviço,244577.21,2023-09-01 05:52:12,Internet Banking,Recusada,Uíge,Poupança
TXN000523,CLI0073,Transferência,205731.65,2024-01-31 03:33:33,,Pendente,Saurimo,Poupança
TXN001997,CLI0138,Pagamento de Serviço,16440.9,2023-08-30 20:13:58,Balcão,Aprovada,Malanje,Empresarial
TXN001932,CLI0108,Transferência,-8105.6,2023-11-25 14:21:27,App Mobile,Recusada,Lubango,Corrente
TXN004200,CLI0149,Transferência,91345.41,2023-06-22 20:05:51,ATM,Recusada,Saurimo,Corrente
TXN000109,CLI0097,Compra com Cartão,233050.75,2023-03-30 11:01:22,Internet Banking,Aprovada,Uíge,Empresarial
TXN001469,CLI0018,Recebimento de Salário,72008.13,2024-01-28 08:47:57,Internet Banking,Aprovada,Kuito,Empresarial
TXN003232,CLI0008,Pagamento de Serviço,137508.58,2024-12-30 23:29:13,ATM,Recusada,Saurimo,Poupança
TXN002571,CLI0109,Pagamento de Electricidade,46348.51,2024-06-16 13:28:41,Balcão,Aprovada,Huambo,Poupança
TXN004491,CLI0097,Pagamento de Empréstimo,62743.94,2023-04-21 08:01:02,ATM,Pendente,Uíge,Empresarial
TXN003236,CLI0002,Pagamento de Electricidade,223619.26,2023-11-27 15:45:18,App Mobile,Aprovada,Saurimo,Jovem
TXN002400,CLI0105,Transferência,117374.75,2024-01-22 00:47:46,Internet Banking,Aprovada,Luanda,Corrente
TXN003847,CLI0186,Depósito,64237.6,2024-01-17 06:02:47,,Aprovada,Saurimo,Poupança
TXN002087,CLI0157,Recebimento de Salário,115228.08,2023-08-23 00:31:36,App Mobile,Aprovada,Malanje,Jovem
TXN000849,CLI0154,Pagamento de Electricidade,236676.87,2024-01-07 20:56:50,Balcão,Recusada,Lubango,Jovem
TXN003245,CLI0187,Pagamento de Serviço,135789.24,2024-03-09 06:33:25,ATM,Aprovada,Kuito,Empresarial
TXN002638,CLI0116,Pagamento de Renda,115471.42,2024-08-18 16:55:14,ATM,Recusada,Benguela,Jovem
TXN004067,CLI0162,Recarga de Telemóvel,225078.83,2024-11-28 16:41:47,Balcão,Pendente,Luanda,Empresarial
TXN002520,CLI0077,Levantamento,155810.95,2023-05-17 02:08:03,Agente Bancário,Aprovada,Huambo,Jovem
TXN001976,CLI0040,Depósito,186153.39,2024-03-13 16:47:59,ATM,Aprovada,Kuito,Poupança
TXN003060,CLI0127,Recarga de Telemóvel,125569.17,2024-03-09 15:41:02,ATM,Recusada,Malanje,Corrente
TXN001657,CLI0184,Transferência,174134.83,2023-10-14 07:56:14,Internet Banking,Aprovada,Sumbe,Corrente
TXN004997,CLI0006,Transferência,10292.95,2023-01-01 02:14:32,Agente Bancário,Aprovada,Uíge,Corrente
TXN001150,CLI0175,Transferência,229615.52,2024-01-29 07:06:06,Balcão,Aprovada,Cabinda,Empresarial
TXN003729,CLI0121,Pagamento de Renda,226627.57,2024-01-30 22:01:10,Agente Bancário,Recusada,Lubango,Empresarial
TXN002425,CLI0061,Levantamento,143988.64,2024-05-22 07:19:27,ATM,Aprovada,Malanje,Poupança
TXN003342,cli0199,Pagamento de Renda,127759.46,2024-06-09 11:01:19,Balcão,Pendente,Kuito,Poupança
TXN003256,CLI0083,Transferência,237061.1,2024-10-17 06:28:21,Internet Banking,Pendente,Cabinda,Empresarial
TXN002234,CLI0091,Pagamento de Renda,188446.97,2024-11-04 05:05:36,ATM,Pendente,Lubango,Corrente
TXN002847,CLI0075,Depósito,111183.12,2023-01-21 18:52:59,ATM,Aprovada,Huambo,Jovem
TXN000541,CLI0174,Pagamento de Renda,132313.05,2023-02-17 03:37:02,ATM,Pendente,Cabinda,Poupança
TXN000659,CLI0002,Pagamento de Electricidade,-130822.47,2023-06-13 22:35:57,Balcão,Aprovada,Saurimo,Jovem
TXN004721,CLI0146,PAGAMENTO DE RENDA,156434.95,2024-05-18 19:51:11,Balcão,Aprovada,Sumbe,Corrente
TXN003459,CLI0153,Compra com Cartão,165134.99,2023-03-09 00:57:21,App Mobile,Aprovada,Huambo,Poupança
TXN000661,CLI0092,Pagamento de Empréstimo,217700.11,2023-12-21 21:35:32,Balcão,Aprovada,Benguela,Poupança
TXN003135,CLI0023,Pagamento de Renda,68243.37,2023-11-02 03:45:29,Balcão,Pendente,Malanje,Poupança
TXN001396,CLI0121,Levantamento,125216.38,2024-04-05 23:21:41,ATM,Pendente,Lubango,Empresarial
TXN000478,CLI0122,Pagamento de Empréstimo,123166.27,2024-06-07 15:13:58,ATM,Aprovada,Lubango,Empresarial
TXN004474,CLI0061,Levantamento,172013.19,2023-08-01 17:06:18,ATM,Aprovada,Malanje,Poupança
TXN002604,CLI0086,Pagamento de Empréstimo,41409.36,2024-10-03 18:07:29,App Mobile,Recusada,Huambo,Corrente
TXN004253,CLI0128,Levantamento,29410.72,2024-09-23 00:03:20,Balcão,Aprovada,Luanda,Poupança
TXN004058,CLI0178,Pagamento de Serviço,24723.31,2024-08-14 20:12:39,ATM,Pendente,Saurimo,Poupança
TXN004129,CLI0155,Pagamento de Renda,144174.92,2023-02-16 09:53:05,Agente Bancário,Aprovada,Malanje,Corrente
TXN002190,CLI0037,Pagamento de Serviço,69055.42,2023-01-23 16:11:15,App Mobile,Recusada,Huambo,Jovem
TXN002111,CLI0017,Transferência,79322.71,2023-08-06 05:03:04,Internet Banking,Aprovada,Huambo,Jovem
TXN003252,CLI0113,Compra com Cartão,156249.32,2024-01-27 01:34:27,,Aprovada,Saurimo,Empresarial
TXN003643,CLI0067,Depósito,17402.5,2023-10-18 05:56:01,App Mobile,Pendente,Lubango,Jovem
TXN001944,CLI0195,Transferência,35005.88,2023-08-16 20:09:44,Agente Bancário,Aprovada,Cabinda,Corrente
TXN003413,CLI0075,Depósito,63498.37,2023-01-04 00:47:30,App Mobile,Pendente,Huambo,Jovem
TXN001965,CLI0045,Compra com Cartão,1927.36,2023-08-02 06:51:44,Internet Banking,Aprovada,Lubango,Empresarial
TXN001370,CLI0085,Recarga de Telemóvel,238908.74,2023-02-15 08:04:47,Internet Banking,Aprovada,Uíge,Empresarial
TXN002606,CLI0064,Pagamento de Renda,137137.01,2024-07-14 01:29:56,Balcão,Aprovada,Uíge,Corrente
TXN001669,CLI0100,Compra com Cartão,191929.9,2023-07-22 18:29:48,Balcão,Recusada,Saurimo,Empresarial
TXN000488,CLI0092,Recebimento de Salário,61435.11,2024-05-28 14:24:25,App Mobile,Aprovada,Benguela,Poupança
TXN002309,CLI0034,Transferência,185143.33,2024-09-13 10:13:59,App Mobile,Aprovada,Huambo,Empresarial
TXN003360,CLI0137,Pagamento de Serviço,176077.54,2024-04-16 17:34:31,Agente Bancário,Pendente,Benguela,Jovem
TXN003503,CLI0173,Pagamento de Serviço,185397.49,2024-12-17 23:37:41,Internet Banking,Aprovada,Benguela,Jovem
TXN003952,CLI0087,Pagamento de Serviço,147865.58,2024-10-09 01:27:04,Agente Bancário,Aprovada,Uíge,Poupança
TXN002098,CLI0097,COMPRA COM CARTÃO,185120.51,2024-02-04 07:56:33,Internet Banking,Aprovada,Uíge,Empresarial
TXN004426,CLI0082,Recebimento de Salário,241095.8,2023-08-31 11:22:53,Agente Bancário,Aprovada,Uíge,Corrente
TXN000111,CLI0169,Transferência,112542.15,2023-02-27 10:48:36,Internet Banking,Aprovada,Cabinda,Poupança
TXN001486,CLI0139,Recebimento de Salário,224477.67,2024-02-08 22:13:47,Agente Bancário,Recusada,Kuito,Poupança
TXN004415,CLI0191,Recebimento de Salário,196347.11,2024-10-21 21:27:26,Agente Bancário,Aprovada,Benguela,Corrente
TXN001257,CLI0104,Pagamento de Electricidade,172979.34,2023-07-16 11:04:21,ATM,Pendente,Uíge,Jovem
TXN004528,CLI0004,Pagamento de Serviço,200150.78,2023-06-18 10:42:27,App Mobile,Aprovada,Saurimo,Empresarial
TXN000553,CLI0112,Depósito,230668.46,2024-05-27 18:34:32,Internet Banking,Aprovada,Luanda,Empresarial
TXN004939,CLI0156,Recarga de Telemóvel,177460.05,2024-09-02 02:35:38,Agente Bancário,Aprovada,Benguela,Jovem
TXN000854,CLI0156,Recebimento de Salário,164319.28,2023-04-06 01:15:38,Internet Banking,Pendente,Benguela,Jovem
TXN003455,CLI0198,Transferência,124793.8,2024-12-21 16:57:42,Agente Bancário,Aprovada,Uíge,Corrente
TXN002108,CLI0161,Recarga de Telemóvel,52568.6,2024-04-20 19:47:59,Internet Banking,Aprovada,Lubango,Empresarial
TXN004609,CLI0049,Compra com Cartão,-25999.96,2023-07-16 06:31:22,Agente Bancário,Aprovada,Saurimo,Poupança
TXN004456,CLI0131,Transferência,28781.69,2024-06-15 09:58:49,Internet Banking,Pendente,Sumbe,Empresarial
TXN003080,CLI0034,Pagamento de Renda,55542.62,2024-05-14 11:40:53,Internet Banking,Pendente,Huambo,Empresarial
TXN001407,CLI0041,DEPÓSITO,216680.35,2024-07-05 17:32:34,ATM,Pendente,Saurimo,Corrente
TXN002890,CLI0192,Recebimento de Salário,-106853.35,2023-02-02 08:46:18,Agente Bancário,Aprovada,Luanda,Empresarial
TXN004347,CLI0169,Transferência,73074.3,2023-08-07 05:54:07,Internet Banking,Aprovada,Cabinda,Poupança
TXN001149,CLI0173,Recarga de Telemóvel,22068.17,2023-12-02 07:40:57,Internet Banking,Aprovada,Benguela,Jovem
TXN003328,CLI0080,Recebimento de Salário,84198.13,2023-04-08 22:52:24,App Mobile,Aprovada,Lubango,Jovem
TXN004447,CLI0076,Recebimento de Salário,63610.47,2024-07-04 14:06:44,App Mobile,Aprovada,Sumbe,Empresarial
TXN003618,CLI0098,Recarga de Telemóvel,3147.11,2024-05-22 11:54:32,Balcão,Aprovada,Sumbe,Corrente
TXN000018,CLI0040,Transferência,156372.75,2024-08-21 22:18:18,ATM,Pendente,Kuito,Poupança
TXN000110,CLI0182,Pagamento de Serviço,173362.4,2024-10-07 16:12:57,Internet Banking,Aprovada,Uíge,Corrente
TXN001022,CLI0161,Pagamento de Electricidade,113571.8,2023-06-16 20:50:12,Internet Banking,Aprovada,Lubango,Empresarial
TXN001632,CLI0110,Pagamento de Serviço,79474.84,2024-07-29 14:44:57,ATM,Recusada,Kuito,Empresarial
TXN002763,CLI0124,Depósito,94930.49,2023-10-15 01:25:43,Balcão,Aprovada,Luanda,Poupança
TXN003266,CLI0040,Transferência,193087.36,2023-03-12 02:52:26,Agente Bancário,Aprovada,Kuito,Poupança
TXN000366,CLI0197,Compra com Cartão,95045.37,2024-11-28 03:10:03,App Mobile,Aprovada,Malanje,Empresarial
TXN001554,CLI0094,Recarga de Telemóvel,93778.58,2023-01-22 17:45:38,Internet Banking,Aprovada,Luanda,Empresarial
TXN002516,CLI0130,Levantamento,195896.84,2023-08-29 02:13:57,Balcão,Aprovada,Uíge,Empresarial
TXN000489,CLI0044,Depósito,115496.89,2023-01-30 00:46:09,Agente Bancário,Aprovada,Benguela,Corrente
TXN001569,CLI0147,Levantamento,201627.68,2024-02-15 22:53:20,ATM,Aprovada,Malanje,Empresarial
TXN001038,CLI0133,Recebimento de Salário,147790.59,2023-03-25 17:29:39,Balcão,Recusada,Kuito,Jovem
TXN000922,CLI0098,Pagamento de Empréstimo,49361.1,2023-01-09 06:56:54,ATM,Pendente,Sumbe,Corrente
TXN003784,CLI0024,Pagamento de Serviço,170228.54,2024-05-05 16:58:32,App Mobile,Recusada,Sumbe,Corrente
TXN003173,CLI0085,Depósito,104630.4,2024-11-25 18:51:52,Internet Banking,Pendente,Uíge,Empresarial
TXN002999,CLI0068,Transferência,246590.05,2024-05-22 23:10:46,Internet Banking,Aprovada,Malanje,Jovem
TXN004288,CLI0188,Pagamento de Electricidade,187801.12,2023-02-28 07:41:25,App Mobile,Aprovada,Benguela,Poupança
TXN003667,CLI0123,Pagamento de Empréstimo,120378.21,2023-07-29 19:02:20,Internet Banking,Aprovada,Kuito,Poupança
TXN004787,CLI0200,Compra com Cartão,189207.95,2023-07-26 01:11:56,ATM,Recusada,Malanje,Empresarial
TXN001490,CLI0093,Pagamento de Empréstimo,115412.38,2023-04-02 11:33:04,Agente Bancário,Aprovada,Saurimo,Corrente
TXN003184,CLI0171,Transferência,229548.57,2024-04-14 19:59:47,Balcão,Pendente,Benguela,Corrente
TXN000352,CLI0129,Pagamento de Electricidade,93802.87,2024-05-19 12:50:07,Internet Banking,Pendente,Saurimo,Jovem
TXN000086,CLI0186,RECARGA DE TELEMÓVEL,217433.73,2023-06-12 05:58:29,ATM,Aprovada,Saurimo,Poupança
TXN003946,CLI0118,Recarga de Telemóvel,136633.21,2023-06-25 10:03:12,App Mobile,Aprovada,Saurimo,Corrente
TXN004844,CLI0173,Depósito,185887.38,2023-10-31 05:06:20,Internet Banking,Aprovada,Benguela,Jovem
TXN003648,CLI0190,Pagamento de Empréstimo,238105.24,2023-10-17 14:06:12,Agente Bancário,Aprovada,Malanje,Empresarial
TXN002773,CLI0056,Pagamento de Empréstimo,113188.8,2024-01-03 18:08:46,App Mobile,Recusada,Huambo,Empresarial
TXN004962,CLI0002,Recebimento de Salário,107553.34,2024-01-02 21:53:02,Balcão,Aprovada,Saurimo,Jovem
TXN000418,CLI0046,Recarga de Telemóvel,48155.29,2024-05-28 04:58:34,Balcão,Aprovada,Malanje,Poupança
TXN004167,CLI0054,Levantamento,208293.09,2023-08-23 20:32:16,App Mobile,Aprovada,Cabinda,Poupança
TXN003948,CLI0138,Levantamento,47655.1,2024-05-30 05:55:01,Internet Banking,Aprovada,Malanje,Empresarial
TXN004266,CLI0079,Recebimento de Salário,229769.46,2024-03-19 07:12:54,App Mobile,Aprovada,Malanje,Poupança
TXN000160,CLI0116,RECARGA DE TELEMÓVEL,115779.79,2023-03-15 13:48:25,Agente Bancário,Aprovada,Benguela,Jovem
TXN001169,CLI0036,Pagamento de Empréstimo,53783.48,2024-09-14 07:55:19,ATM,Aprovada,Lubango,Poupança
TXN004966,CLI0074,Compra com Cartão,46230.28,2024-06-06 07:21:17,ATM,Aprovada,Huambo,Corrente
TXN001758,CLI0003,Pagamento de Renda,81613.02,2024-08-06 15:40:20,Internet Banking,Aprovada,Saurimo,Corrente
TXN002533,CLI0121,Compra com Cartão,214602.95,2023-06-10 06:28:50,Balcão,Aprovada,Lubango,Empresarial
